City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Omboue,GA,-1.5746,9.2618,79.56,88,97,7.45,light rain
80,Okmulgee,US,35.6234,-95.9605,63.91,22,0,9.22,clear sky
81,Palermo,IT,37.8167,13.5833,55.36,71,100,7.67,overcast clouds
82,Coquimbo,CL,-29.9533,-71.3436,64.13,72,100,6.91,overcast clouds
83,Airai,TL,-8.9266,125.4092,59.43,90,64,0.85,broken clouds
84,Linxia,CN,35.6003,103.2064,39.13,41,88,0.94,overcast clouds
85,Palembang,ID,-2.9167,104.7458,78.89,89,20,2.3,few clouds
86,Saint-Philippe,RE,-21.3585,55.7679,80.19,86,43,6.87,scattered clouds
87,Ayan,RU,56.45,138.1667,9.68,87,39,6.53,scattered clouds
88,Payson,US,40.0444,-111.7321,71.26,26,40,5.01,scattered clouds
89,Fortuna,US,40.5982,-124.1573,62.92,77,0,6.91,clear sky
90,Bambanglipuro,ID,-7.95,110.2833,74.43,94,100,3.29,overcast clouds
91,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-7.17,98,12,2.62,few clouds
92,Dingle,PH,10.9995,122.6711,77.36,83,64,6.58,broken clouds
93,Tokmak,UA,47.2514,35.7058,48.13,51,31,18.25,scattered clouds
94,Buala,SB,-8.145,159.5921,78.06,85,100,7.02,light rain
95,Bindura,ZW,-17.3019,31.3306,66.87,94,96,3.2,moderate rain
96,Hilo,US,19.7297,-155.09,72.25,89,100,6.91,light rain
97,Abut,PH,17.3523,121.6036,74.98,84,59,2.48,broken clouds
98,Avarua,CK,-21.2078,-159.775,75.25,100,75,4.61,moderate rain
99,Puerto Ayora,EC,-0.7393,-90.3518,82.36,74,100,9.4,light rain
100,Norman Wells,CA,65.282,-126.8329,-2.16,60,20,8.05,few clouds
101,Vardo,NO,70.3705,31.1107,27.19,60,100,31.34,light snow
102,Haines Junction,CA,60.7522,-137.5108,22.95,68,100,0.0,overcast clouds
103,Aykhal,RU,66.0,111.5,2.32,100,99,2.93,overcast clouds
104,Lasa,IT,46.6166,10.7002,54.48,73,16,0.18,few clouds
105,Caxias,PT,38.7031,-9.2767,67.33,54,20,5.75,few clouds
106,Banda Aceh,ID,5.5577,95.3222,80.55,80,42,6.38,scattered clouds
107,Broome,US,42.2506,-75.833,47.62,66,100,10.36,overcast clouds
108,Elko,US,41.0002,-115.5012,51.82,19,54,3.69,broken clouds
109,Kaitangata,NZ,-46.2817,169.8464,47.88,97,54,4.21,broken clouds
110,Pisco,PE,-13.7,-76.2167,75.02,64,0,9.22,clear sky
111,Dudinka,RU,69.4058,86.1778,20.62,79,100,10.69,overcast clouds
112,San Policarpo,PH,12.1791,125.5072,79.56,83,89,10.89,overcast clouds
113,Shymkent,KZ,42.3,69.6,43.39,100,100,13.42,mist
114,Malanje,AO,-9.5402,16.341,67.59,92,91,2.48,light rain
115,Deputatskiy,RU,69.3,139.9,-14.93,99,78,6.93,broken clouds
116,Seddon,AU,-37.8068,144.8916,60.76,92,20,10.36,few clouds
117,Saskylakh,RU,71.9167,114.0833,-23.22,100,100,2.73,overcast clouds
118,Bengkulu,ID,-3.8004,102.2655,77.67,85,100,7.02,overcast clouds
119,Port Alfred,ZA,-33.5906,26.891,66.18,81,100,1.99,overcast clouds
120,Gurlan,UZ,41.8447,60.3919,42.87,59,14,19.39,few clouds
121,Wahiawa,US,21.5028,-158.0236,70.38,69,75,8.05,broken clouds
122,Minas,UY,-34.3759,-55.2377,66.51,76,96,18.21,overcast clouds
123,Hithadhoo,MV,-0.6,73.0833,83.61,68,5,13.02,clear sky
124,Dicabisagan,PH,17.0818,122.4157,78.19,87,3,4.12,clear sky
125,Goundam,ML,16.4145,-3.6708,97.45,20,29,7.54,scattered clouds
126,Semey,KZ,50.4111,80.2275,26.58,91,100,7.38,overcast clouds
127,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,40,3.44,scattered clouds
128,Mataura,NZ,-46.1927,168.8643,46.15,99,23,1.32,few clouds
129,Lagoa,PT,39.05,-27.9833,59.58,88,100,21.79,overcast clouds
130,Stolin,BY,51.8912,26.846,41.92,52,53,20.65,broken clouds
131,Maxixe,MZ,-23.8597,35.3472,71.76,88,100,5.48,overcast clouds
132,Port Elizabeth,ZA,-33.918,25.5701,66.09,89,40,6.91,scattered clouds
133,Coahuayana,MX,18.7333,-103.6833,89.82,19,64,6.51,broken clouds
134,Diffa,NE,13.3154,12.6113,83.61,9,31,9.84,scattered clouds
135,Skibbereen,IE,51.55,-9.2667,56.1,79,0,13.89,clear sky
136,Xichang,CN,27.8964,102.2634,44.78,93,100,5.59,overcast clouds
137,Hambantota,LK,6.1241,81.1185,78.66,80,8,3.33,clear sky
138,Playa Vicente,MX,17.8333,-95.8167,82.49,26,100,7.27,overcast clouds
139,Waitati,NZ,-45.75,170.5667,52.57,94,79,2.48,broken clouds
140,Katsuura,JP,35.1333,140.3,64.42,97,100,25.93,overcast clouds
141,Cidreira,BR,-30.1811,-50.2056,72.12,63,54,12.19,broken clouds
142,Tselinnoye,RU,53.0833,85.6667,6.8,98,98,4.0,overcast clouds
143,Vila,PT,42.0304,-8.1588,55.71,58,97,2.64,overcast clouds
144,Derzhavinsk,KZ,51.1,66.3167,24.67,96,100,18.99,light snow
145,Cabo San Lucas,MX,22.8909,-109.9124,83.61,40,98,3.6,overcast clouds
146,Todos Santos,MX,23.45,-110.2167,90.3,56,91,6.73,overcast clouds
147,Kailua,US,21.4022,-157.7394,73.65,71,100,17.27,overcast clouds
148,Tecpatan,MX,17.1333,-93.3,70.63,64,94,7.47,overcast clouds
149,Husavik,IS,66.0449,-17.3389,42.24,90,100,15.43,overcast clouds
150,Berlevag,NO,70.8578,29.0864,22.8,62,100,27.81,light snow
151,Bagotville,AU,-28.9833,153.4167,67.82,99,99,2.89,overcast clouds
152,Shelburne,CA,44.0787,-80.2041,38.91,90,100,14.07,overcast clouds
153,North Bend,US,43.4065,-124.2243,60.24,88,75,0.0,broken clouds
154,Uruzgan,AF,32.8333,66.0,63.66,23,0,4.23,clear sky
155,Arraial Do Cabo,BR,-22.9661,-42.0278,94.96,58,0,11.5,clear sky
156,Tungor,RU,53.3808,142.9564,27.86,97,100,14.25,light snow
157,Askiz,RU,53.1319,90.5264,28.85,79,100,6.89,overcast clouds
158,Nizhniy Kuranakh,RU,58.8353,125.4869,1.42,100,85,2.64,overcast clouds
159,Hastinapur,IN,29.1667,78.0167,75.07,13,0,8.55,clear sky
160,Constitucion,CL,-35.3333,-72.4167,62.2,67,71,7.25,broken clouds
161,Tutoia,BR,-2.7619,-42.2744,82.96,72,93,9.22,overcast clouds
162,Castro,BR,-24.7911,-50.0119,73.36,77,86,8.95,overcast clouds
163,Olafsvik,IS,64.8945,-23.7142,40.62,89,100,22.41,overcast clouds
164,Bintulu,MY,3.1667,113.0333,75.61,100,20,1.14,few clouds
165,Miracema Do Tocantins,BR,-9.5618,-48.3967,85.77,68,24,3.06,few clouds
166,Sitka,US,57.0531,-135.33,37.29,81,20,0.0,few clouds
167,Esperance,AU,-33.8667,121.9,66.04,80,100,0.4,overcast clouds
168,Onega,RU,63.9061,38.1404,19.29,86,100,24.2,light snow
169,Saint-Pierre,RE,-21.3393,55.4781,79.29,74,75,3.44,broken clouds
170,Waingapu,ID,-9.6567,120.2641,77.36,85,54,2.75,broken clouds
171,Saraland,US,30.8207,-88.0706,74.08,36,0,8.14,clear sky
172,Mandalgovi,MN,45.7625,106.2708,24.08,24,0,12.17,clear sky
173,Codrington,AU,-38.2667,141.9667,54.59,84,0,4.63,clear sky
174,Henties Bay,NA,-22.116,14.2845,64.44,82,7,8.03,clear sky
175,Urumqi,CN,43.801,87.6005,41.95,45,0,2.24,clear sky
176,Schitu,RO,44.35,24.5667,50.38,44,0,7.65,clear sky
177,Port Augusta,AU,-32.5,137.7667,67.3,53,0,5.39,clear sky
178,Kahului,US,20.8947,-156.47,71.83,89,40,11.5,scattered clouds
179,Dubrovnik,HR,42.6481,18.0922,55.04,87,0,8.05,clear sky
180,Caldas,CO,6.0911,-75.6357,78.4,65,75,3.44,broken clouds
181,Ranong,TH,9.9658,98.6348,78.8,85,3,1.21,clear sky
182,Adrar,MR,20.5022,-10.0711,87.24,12,1,7.09,clear sky
183,Ereymentau,KZ,51.6199,73.1033,17.67,94,100,17.58,overcast clouds
184,Rio Gallegos,AR,-51.6226,-69.2181,66.25,37,0,18.41,clear sky
185,Tigil,RU,57.8,158.6667,6.22,95,100,5.93,overcast clouds
186,Ballina,AU,-28.8667,153.5667,67.96,100,100,3.44,overcast clouds
187,Pauini,BR,-7.7136,-66.9764,84.15,79,94,0.96,overcast clouds
188,Mushie,CD,-3.0167,16.9,80.44,63,97,3.8,overcast clouds
189,Lompoc,US,34.6391,-120.4579,67.93,85,100,5.75,overcast clouds
190,Georgetown,MY,5.4112,100.3354,84.13,87,20,5.01,moderate rain
191,Dangriga,BZ,16.9692,-88.2321,74.41,49,100,5.48,overcast clouds
192,Belene,BG,43.65,25.1167,51.13,44,0,5.39,clear sky
193,Ilulissat,GL,69.2167,-51.1,15.82,67,40,4.61,scattered clouds
194,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,100,75,26.24,mist
195,Kruisfontein,ZA,-34.0033,24.7314,63.88,82,97,6.76,overcast clouds
196,Acapulco,MX,16.8634,-99.8901,86.22,37,99,9.08,overcast clouds
197,Portland,US,45.5234,-122.6762,60.17,83,100,5.75,overcast clouds
198,Alyangula,AU,-13.8483,136.4192,73.27,94,99,0.0,overcast clouds
199,Barrow,US,71.2906,-156.7887,-3.98,77,0,19.57,haze
200,Boulsa,BF,12.6675,-0.5758,98.51,9,57,8.19,broken clouds
201,Egvekinot,RU,66.3167,-179.1667,4.89,97,100,0.38,light snow
202,Kralendijk,BQ,12.15,-68.2667,85.98,62,40,23.02,scattered clouds
203,Atherton,GB,53.5237,-2.4935,64.65,48,34,1.01,scattered clouds
204,Severo-Yeniseyskiy,RU,60.3725,93.0408,8.37,88,100,12.5,overcast clouds
205,Honiara,SB,-9.4333,159.95,75.72,95,100,2.48,light rain
206,Pleshanovo,RU,52.8333,53.4833,28.74,96,98,9.86,overcast clouds
207,Carnarvon,AU,-24.8667,113.6333,77.07,73,75,5.75,broken clouds
208,Provideniya,RU,64.3833,-173.3,10.62,98,100,1.57,overcast clouds
209,Aleksandrov Gay,RU,50.147,48.5704,30.92,84,19,10.16,few clouds
210,Craig,US,40.5153,-107.5464,49.62,53,0,3.44,clear sky
211,Gorontalo,ID,0.5412,123.0595,74.62,91,100,3.04,overcast clouds
212,Kavaratti,IN,10.5669,72.642,82.51,66,1,2.75,clear sky
